image,Subject Identifiability,Boundary Integrity,Semantic Consistency,Texture Translation,Palette Adherence,Scale Proportionality,Artifact Absence,Edge Smoothness,Media Mimicry,Visual Harmony,Compositional Resonance
river-near-mountains_painting-with-green-center.jpg,False,False,False,True,True,True,True,True,True,True,True
river-near-mountains_trees-by-the-water.jpg,True,False,True,True,True,True,True,False,True,True,True
beige-building_view-of-segovia.jpg,True,True,True,True,True,True,False,False,True,True,True
big-ben_valley-of-aosta.jpg,True,True,True,True,True,True,True,True,True,True,True
taj-mahal_painting-with-green-center.jpg,True,True,True,True,True,True,True,True,True,True,True
green-mountains_trees-by-the-water.jpg,False,False,False,True,True,True,False,False,True,True,False
elephant_painting-with-green-center.jpg,True,True,True,True,True,True,True,True,True,True,True
white-houses_boogie-woogie.jpg,False,False,False,True,True,False,True,False,True,True,False
beige-building_the-wanderer.jpg,True,True,True,True,True,True,False,False,True,True,True
seashore_painting-with-green-center.jpg,True,True,True,True,True,False,True,False,True,True,False
river-near-mountains_boogie-woogie.jpg,False,False,False,True,True,False,True,True,True,False,False
river-near-mountains_mont-sainte-victoire.jpg,True,True,True,True,True,True,True,True,True,True,True
balloon-contest_boogie-woogie.jpg,False,False,False,True,True,False,False,False,True,False,False
elephant_valley-of-aosta.jpg,True,True,True,True,True,True,True,True,True,True,True
beige-building_trees-by-the-water.jpg,True,True,True,True,True,True,True,True,True,True,True
white-houses_mont-sainte-victoire.jpg,True,False,True,True,True,True,False,False,True,True,True
seashore_boogie-woogie.jpg,False,False,False,True,True,False,True,True,True,False,False
beige-building_painting-with-green-center.jpg,True,True,False,True,True,False,False,False,True,True,True
white-houses_cliff-walk-at-pourville.jpg,True,True,True,True,True,True,True,True,True,True,True
big-ben_mont-sainte-victoire.jpg,True,True,True,True,True,True,True,True,True,True,True
river-near-mountains_stoke-by-nayland.jpg,True,True,True,True,True,True,True,True,True,True,True
river-near-mountains_cliff-walk-at-pourville.jpg,True,True,True,True,True,True,True,True,True,True,True
taj-mahal_stoke-by-nayland.jpg,True,True,True,True,True,True,True,True,True,True,True
windows_stoke-by-nayland.jpg,True,True,True,True,True,True,False,False,True,True,True
beige-building_boogie-woogie.jpg,False,False,False,True,True,False,True,True,True,True,False
river-near-mountains_valley-of-aosta.jpg,True,True,True,True,True,True,True,True,True,True,True
big-ben_cliff-walk-at-pourville.jpg,True,True,True,True,True,True,True,True,True,True,True
river-near-mountains_the-wanderer.jpg,True,True,True,True,True,True,True,True,True,True,True
big-ben_the-wanderer.jpg,True,True,True,True,True,True,True,False,True,True,True
balloon-contest_painting-with-green-center.jpg,False,False,False,True,True,False,True,False,True,True,False
beige-building_mont-sainte-victoire.jpg,True,True,True,True,True,True,False,False,True,True,True
windows_view-of-segovia.jpg,True,True,True,True,True,True,False,False,True,True,True
balloon-contest_mont-sainte-victoire.jpg,True,True,True,True,True,True,False,False,True,True,True
green-mountains_boogie-woogie.jpg,False,False,False,True,True,False,True,True,True,False,False
seashore_cliff-walk-at-pourville.jpg,True,True,True,True,True,True,False,False,True,True,True
balloon-contest_valley-of-aosta.jpg,True,True,True,True,True,True,True,True,True,True,True
green-mountains_mont-sainte-victoire.jpg,True,True,True,True,True,True,False,False,True,True,True
windows_painting-with-green-center.jpg,True,True,True,True,True,True,True,True,True,True,True
balloon-contest_trees-by-the-water.jpg,False,False,False,True,True,False,False,False,False,False,False
seashore_valley-of-aosta.jpg,True,True,True,True,True,True,True,True,True,True,True
windows_trees-by-the-water.jpg,True,True,True,True,True,True,False,False,True,False,False
taj-mahal_mont-sainte-victoire.jpg,True,True,True,True,True,True,False,False,False,True,True
taj-mahal_the-wanderer.jpg,True,True,True,True,True,True,True,True,True,True,True
balloon-contest_the-wanderer.jpg,True,True,True,True,True,True,True,True,True,True,True
balloon-contest_stoke-by-nayland.jpg,True,False,True,True,True,True,True,False,False,False,False
windows_boogie-woogie.jpg,False,False,False,True,True,False,False,False,True,False,False
seashore_stoke-by-nayland.jpg,True,True,True,True,True,True,False,False,True,True,True
big-ben_painting-with-green-center.jpg,True,True,True,True,True,True,True,True,True,True,True
elephant_cliff-walk-at-pourville.jpg,True,True,True,True,True,True,False,False,True,True,True
windows_cliff-walk-at-pourville.jpg,True,True,True,True,True,True,False,True,True,True,True
taj-mahal_trees-by-the-water.jpg,True,True,True,True,True,True,True,False,True,True,True
white-houses_the-wanderer.jpg,True,False,False,True,True,True,False,False,True,True,True
taj-mahal_cliff-walk-at-pourville.jpg,True,True,True,True,True,True,False,True,True,True,True
elephant_trees-by-the-water.jpg,True,True,True,True,True,True,True,False,True,True,True
green-mountains_stoke-by-nayland.jpg,True,True,True,True,True,True,False,False,True,True,True
white-houses_view-of-segovia.jpg,True,True,True,True,True,True,True,True,True,True,True
windows_mont-sainte-victoire.jpg,True,True,True,True,True,True,False,True,True,True,True
white-houses_painting-with-green-center.jpg,True,False,False,True,True,False,True,True,True,True,True
balloon-contest_view-of-segovia.jpg,True,True,True,True,True,True,False,True,True,True,True
balloon-contest_cliff-walk-at-pourville.jpg,True,True,True,True,True,True,False,True,True,True,True
taj-mahal_boogie-woogie.jpg,False,False,False,True,True,False,True,False,True,False,False
windows_the-wanderer.jpg,True,True,True,True,True,True,True,False,True,True,True
